codigo_localidad,nombre_localidad,codigo_divipola,area_km2,poblacion,total_parques_idrd,total_paraderos_sitp,total_estaciones_troncales_tm,total_camas_hospitalarias,camas_por_10000_habitantes,camas_uci_adultos,medicos_generales_por_1000_hab,vigencia,fuente,puntaje_promedio_saber_11,tasa_desercion_escolar_pct,relacion_estudiantes_por_docente,colegios_jornada_unica_pct,presupuesto_aprobado_millones,presupuesto_ejecutado_millones,porcentaje_ejecucion_fdl,proyectos_inversion_activos,presupuesto_social_sdis_millones,beneficiarios_transferencias_monetarias,comedores_comunitarios_activos,centros_cuidado_primera_infancia,total_votantes_pp,propuestas_ciudadanas_radicadas,propuestas_priorizadas_aprobadas,inversion_presupuesto_participativo_millones,eje_tematico_principal,cobertura_acueducto_pct,cobertura_alcantarillado_pct,consumo_promedio_m3_suscriptor,horas_interrupcion_promedio_mes,prestador_principal,irca_promedio,clasificacion_riesgo_irca,muestras_analizadas,total_luminarias,tecnologia_led_pct,fallas_reportadas_mes,tiempo_medio_reparacion_horas,penetracion_internet_fijo_pct,velocidad_promedio_bajada_mbps,zonas_wifi_publicas,total_pqr_recibidas,pqr_resueltas_a_tiempo_pct,tema_frecuente_1,tema_frecuente_2,tema_frecuente_3,homicidios_anual,hurto_a_personas_anual,hurto_a_comercio_anual,tasa_delitos_alto_impacto_por_100k_hab,tiempo_medio_respuesta_cuadrante_min,ocupados_trabajan_en_su_localidad_pct,ocupados_conmutan_a_otras_localidades_pct,conmutacion_hacia_centro_ampliado_pct,tiempo_promedio_desplazamiento_laboral_min,modo_transporte_principal_trabajo,ingreso_laboral_promedio_ocupados_cop,tasa_informalidad_laboral_pct,tasa_desempleo_pct,poblacion_en_edad_trabajar_estimada,inversion_educacion_asignada_cop,inversion_educacion_ejecutada_cop,inversion_educacion_girada_cop,densidad_poblacional,camas_por_10k_hab_calc,paraderos_por_10k_hab,parques_por_10k_hab,luminarias_por_km2,luminarias_por_10k_hab,comedores_por_10k_hab,tasa_beneficiarios_transferencias_pct,tasa_votantes_pp_por_10k_hab,propuestas_ciudadanas_por_10k_hab,inversion_pp_per_capita_cop,inversion_fdl_per_capita_millones,inversion_fdl_per_capita_cop,inversion_social_sdis_per_capita_cop,inversion_educacion_per_capita_cop,inversion_educacion_ejecutada_millones,inversion_total_consolidada_per_capita_cop,tasa_homicidios_por_100k_hab_calc,pqr_por_10k_hab,localidad,area_geometria_km2,diferencia_area_pct,nombre_poblacion,poblacion_2025,poblacion_5_17_2025,registros_oferta,establecimientos_dane,oferta_total_cupos,registros_salud,sedes_ips_registradas,prestadores_unicos_localidad,cupos_por_1000_pob_5_17,sedes_ips_por_10000_hab,oferta_regular_cupos,oferta_modalidades_complementarias,oferta_regular_por_1000_pob_5_17,oferta_total_por_1000_pob_5_17,participacion_complementaria_pct,estaciones_troncales,paraderos_zonales,estaciones_por_km2,paraderos_por_km2,conflictos_ambientales_registrados,tipos_conflicto_ambiental,parques_registrados,conflictos_ambientales_por_km2,parques_por_10000_hab_proxy,periodos_rivi,vendedores_informales_promedio,rivi_por_10000_hab_2017_2019,rivi_tasa_minima,rivi_tasa_maxima,rivi_tasa_desviacion,poblacion_2026,cuadrantes_policiales,cuadrantes_por_10000_hab_2026,score_educacion,score_salud,score_estaciones,score_paraderos,score_ambiente,score_infraestructura,score_vulnerabilidad,score_seguridad,dim_educacion,dim_salud,dim_movilidad,dim_ambiente,dim_infraestructura,dim_vulnerabilidad,dim_seguridad,ipt_base,ranking_ipt_base,score_educacion_rango,score_salud_rango,score_estaciones_rango,score_paraderos_rango,score_ambiente_rango,score_infraestructura_rango,score_vulnerabilidad_rango,score_seguridad_rango,dim_rango_educacion,dim_rango_salud,dim_rango_movilidad,dim_rango_ambiente,dim_rango_infraestructura,dim_rango_vulnerabilidad,dim_rango_seguridad,ipt_rangos,ranking_ipt_rangos,ipt_sin_proxy,ipt_sin_rivi,ipt_sin_proxy_ni_rivi,ranking_ipt_sin_proxy,ranking_ipt_sin_rivi,ranking_ipt_sin_proxy_ni_rivi,apariciones_top5,ranking_promedio_escenarios,ranking_consenso,nivel_prioridad_consenso,confianza_priorizacion,dimension_prioritaria_1,dimension_prioritaria_2,score_dimension_prioritaria_1,score_dimension_prioritaria_2,IPT_MULTIDIMENSIONAL,RANKING_PRIORIDAD,NIVEL_PRIORIDAD,IPT_GEOMETRICO,ci_lower_95,ci_upper_95,ancho_intervalo_ci95,codigo_localidad_str
1,USAQUEN,1100101,65.31,550679,5,698,10,1850,42.5,333,6.38,2024-2025,Secretaría Distrital de Salud (SaluData) / REPS,298.5,1.8,18.2,65.0,85400,81200,95.08,26,12025.0,4225,3,6,7500,79,19,7989.5,Seguridad y cultura,99.9,99.7,14.2,0.2,EAAB - ESP,0.45,Sin Riesgo (Apta),120,32450,98.8,389,36.5,89.5,120.5,8,8420,88.5,Ruido y espacio público,Aseo y basuras,Seguridad y convivencia,18,5420,310,48.5,8.5,38.5,61.5,25.4,42.0,A pie / Auto / SITP,3650000,24.5,7.8,657000,163103163894.33,156192285339.33,129410855984.33,8431.771551064156,33.59488921858288,12.675260905173433,0.0907969978880618,496.86,589.27,0.054,0.77,136.2,1.43,14508.0,0.1474543245702124,147454.0,21837.0,283636.0,156192.29,467435.0,3.268691923970226,152.90214444349613,USAQUEN,65.14907457353456,0.0802730938405905,Usaquén,586286,80440,27,12,25413,560,560,434,315.9249129786176,9.551652265276674,23611,1802,293.5231228244655,315.9249129786176,7.090859009168536,10,698,0.1533709075074869,10.70528934402259,71,17,5,1.0889334433031574,0.0852826095113988,6,602.6666666666666,11.171942605828493,10.71447190776925,11.438316279843608,0.3310544705095402,584326,41,0.7016631127144779,0.9618671052716372,0.7122085015698858,0.8889927570551744,0.5824266465991651,0.0544893126754227,0.9293263014979036,0.0,0.9112180266073812,0.9618671052716372,0.7122085015698858,0.7357097018271698,0.0544893126754227,0.9293263014979036,0.0,0.9112180266073812,61.49741356356287,9,0.8947368421052632,0.1578947368421053,0.6842105263157895,0.631578947368421,0.4736842105263157,0.8947368421052632,0.0,0.5263157894736843,0.8947368421052632,0.1578947368421053,0.6578947368421053,0.4736842105263157,0.8947368421052632,0.0,0.5263157894736843,51.50375939849624,12,56.25821079919161,71.74698249082333,67.50985295902993,12,8,9,0,10.0,11,Media,Baja,Educación,Infraestructura,0.9618671052716372,0.9293263014979036,61.49741356356285,9,Media-alta,30.26599657290734,29.45,82.55,53.1,01
2,CHAPINERO,1100102,38.0,148068,3,333,9,2120,68.4,381,10.26,2024-2025,Secretaría Distrital de Salud (SaluData) / REPS,308.2,1.4,18.2,65.0,62300,59800,95.99,19,12025.0,4225,3,6,3200,33,8,3364.0,Seguridad y cultura,99.9,99.8,13.8,0.1,EAAB - ESP,0.45,Sin Riesgo (Apta),120,21200,99.1,254,36.5,92.4,120.5,8,6950,91.2,Ruido y espacio público,Aseo y basuras,Seguridad y convivencia,12,6890,480,72.1,8.5,52.1,47.9,12.0,32.0,A pie / Auto / SITP,4200000,18.2,6.9,756000,27528720049.0,25674170927.0,23426202600.0,3896.5263157894738,143.17745900532188,22.4896669097982,0.2026096117999838,557.89,1431.77,0.203,2.85,216.12,2.23,22719.0,0.4038684928546343,403868.0,81213.0,173394.0,25674.17,681194.0,8.104384471999351,469.3789340032957,CHAPINERO,37.978420292375525,0.0802303927835243,Chapinero,161162,19753,7,3,3808,511,511,389,192.78084341618995,31.70722626921979,3412,396,172.73325570799372,192.78084341618995,10.399159663865548,9,333,0.2367865539277013,8.761102495324948,99,20,3,2.6046520932047144,0.1861480994279048,6,2861.0,182.96138826511367,161.7412916003262,193.85596564897543,12.383831931556568,160175,34,2.122678320586858,1.0,0.0,0.828617937097117,0.6582621140918561,0.136099486808621,0.8457390700040952,0.1727418511831127,0.7314158792666674,1.0,0.0,0.7434400255944865,0.136099486808621,0.8457390700040952,0.1727418511831127,0.7314158792666674,51.84909018367119,17,1.0,0.0,0.5789473684210527,0.6842105263157895,0.6842105263157895,0.4736842105263158,0.8421052631578947,0.1578947368421053,1.0,0.0,0.631578947368421,0.6842105263157895,0.4736842105263158,0.8421052631578947,0.1578947368421053,54.13533834586467,8,46.39495404754814,57.61157436123118,52.2191078333955,18,17,19,0,15.8,17,Baja,Baja,Educación,Infraestructura,1.0,0.8457390700040952,51.84909018367119,17,Baja,26.81780506486458,24.98,76.2,51.21,02
3,SANTA FE,1100103,37.92,111539,8,194,14,1420,58.2,255,8.73,2024-2025,Secretaría Distrital de Salud (SaluData) / REPS,262.4,3.8,18.2,65.0,54200,51600,95.2,16,12025.0,4225,3,6,3200,33,8,3364.0,Seguridad y cultura,99.8,99.6,12.5,0.3,EAAB - ESP,0.85,Sin Riesgo (Apta),120,14500,97.9,174,36.5,68.2,65.0,14,4820,84.1,Ruido y espacio público,Aseo y basuras,Seguridad y convivencia,38,4950,390,88.4,22.0,48.0,52.0,15.0,34.0,A pie / Auto / SITP,1950000,48.2,11.4,351000,67928258674.0,62962890763.0,57665466719.0,2941.4293248945146,127.30973022888855,17.393019481974914,0.7172379167824706,382.38,1299.99,0.269,3.79,286.9,2.96,30160.0,0.4626184563246936,462618.0,107810.0,564492.0,62962.89,1165080.0,34.068801047167355,432.1358448614386,SANTA FE,45.13440463767167,0.0802318165341779,Santa Fe,113315,18196,16,9,10144,78,78,51,557.4851615739723,6.88346644310109,9059,1085,497.8566717959992,557.4851615739723,10.695977917981072,14,194,0.3099357941681901,4.294824576330635,99,15,8,2.191688830189345,0.7059965582667784,6,10102.666666666666,969.4306153194726,951.9453821926334,984.27248166731,14.04938176705927,113327,29,2.5589665304825857,0.8973597927096411,0.7979794513987406,0.7756737665593704,0.832474934308238,0.1138644870562019,0.4149406521643207,0.9635712857769532,0.6762119964622457,0.8973597927096411,0.7979794513987406,0.8040743504338042,0.1138644870562019,0.4149406521643207,0.9635712857769532,0.6762119964622457,66.68574308574154,2,0.736842105263158,0.3157894736842105,0.4736842105263158,0.8947368421052632,0.631578947368421,0.1052631578947368,0.9473684210526316,0.0526315789473684,0.736842105263158,0.3157894736842105,0.6842105263157895,0.631578947368421,0.1052631578947368,0.9473684210526316,0.0526315789473684,49.62406015037594,14,70.88435606395977,61.740512170415904,65.78980156121267,1,15,13,2,9.0,8,Media-alta,Media,Vulnerabilidad económica,Educación,0.9635712857769532,0.8973597927096411,66.68574308574155,2,Alta,56.580822879921946,45.95,82.48,36.54,03
4,SAN CRISTOBAL,1100104,49.09,383234,7,408,3,420,12.1,75,1.81,2024-2025,Secretaría Distrital de Salud (SaluData) / REPS,248.5,4.2,24.5,42.5,98400,92100,93.6,30,27750.0,9750,8,6,7500,79,19,7989.5,Malla vial y espacio público,99.4,98.9,11.2,0.8,EAAB - ESP,0.85,Sin Riesgo (Apta),120,26800,96.5,321,36.5,52.4,65.0,14,7150,79.5,Malla vial y huecos,Aseo y basuras,Seguridad y convivencia,64,4120,240,58.2,22.0,18.5,81.5,56.2,68.0,SITP / TransMilenio,1520000,54.8,13.2,273600,314495684173.0,292819514698.0,270410060358.0,7806.763088205336,10.959361643277996,10.646237024898625,0.1826560273879666,545.94,699.31,0.209,2.54,195.7,2.06,20848.0,0.2403231446061675,240323.0,72410.0,764075.0,292819.51,1097656.0,16.699979646899806,186.57008511770877,SAN CRISTOBAL,49.0592174590248,0.0801063765633065,San Cristóbal,394686,71189,63,35,53625,31,31,22,753.276489345264,0.7854344972965851,48313,5312,678.658219668769,753.276489345264,9.905827505827505,3,408,0.0611016025929633,8.309817952643012,16,6,6,0.3258752138291377,0.1520195801219197,6,3554.1666666666665,92.3272162232878,91.4564040387148,92.87394118504028,0.5969670272483861,393880,31,0.787041738600589,0.8402814420470863,0.9940055256441548,0.9557757037916452,0.6758650385687062,0.0134043032739819,0.8740213739529652,0.0816052007394915,0.9004150033981455,0.8402814420470863,0.9940055256441548,0.8158203711801757,0.0134043032739819,0.8740213739529652,0.0816052007394915,0.9004150033981455,64.56504600337144,5,0.4736842105263158,0.8421052631578947,0.7894736842105263,0.7894736842105263,0.1578947368421052,0.631578947368421,0.631578947368421,0.368421052631579,0.4736842105263158,0.8421052631578947,0.7894736842105263,0.1578947368421052,0.631578947368421,0.631578947368421,0.368421052631579,55.63909774436091,5,60.75886410471726,73.96580032494181,71.27853291087088,5,5,5,5,5.0,4,Alta,Alta,Salud,Seguridad,0.9940055256441548,0.9004150033981455,64.56504600337144,5,Alta,37.33416953812687,31.48,85.58,54.1,04
5,USME,1100105,69.13,414363,7,327,2,280,8.4,50,1.26,2024-2025,Secretaría Distrital de Salud (SaluData) / REPS,242.1,4.9,24.5,42.5,112500,104200,92.62,35,27750.0,9750,8,6,7500,79,19,7989.5,Malla vial y espacio público,97.5,94.2,10.5,2.1,EAAB - ESP,2.1,Sin Riesgo (Apta),120,22100,94.2,265,58.0,41.5,25.0,14,8920,76.2,Malla vial y huecos,Aseo y basuras,Seguridad y convivencia,58,3210,180,52.4,22.0,14.2,85.8,62.4,82.0,SITP / TransMilenio,1380000,59.2,14.5,248400,439111388537.0,411372868865.0,379902031054.0,5993.9678865904825,6.757360092479299,7.891631250859754,0.1689340023119825,319.69,533.35,0.193,2.35,181.0,1.91,19281.0,0.2514703291558368,251470.0,66970.0,992784.0,411372.87,1330505.0,13.997388762992834,215.2701858032691,USME,214.89509952726937,0.0797832150696317,Usme,399153,79885,73,51,74680,24,24,14,934.8438380171496,0.6012731959925142,71747,2933,898.1285598047193,934.8438380171496,3.927423674343867,2,327,0.0092994411696438,1.520458631236774,116,24,7,0.5393675878393449,0.1753713488311499,6,1975.5,54.344107473166304,53.55103719618784,55.038021501814825,0.6643734020646401,401629,22,0.5477692098927119,0.7709955029514477,0.9999255367630536,0.9932692233361182,0.9406925876592688,0.0248992794822739,0.854669763223626,0.0434115125649652,0.9306903405113444,0.7709955029514477,0.9999255367630536,0.9669809054976936,0.0248992794822739,0.854669763223626,0.0434115125649652,0.9306903405113444,65.59389772849148,3,0.1578947368421053,0.9473684210526316,0.9473684210526316,0.9473684210526316,0.2631578947368421,0.5263157894736843,0.4210526315789473,0.8421052631578947,0.1578947368421053,0.9473684210526316,0.9473684210526316,0.2631578947368421,0.5263157894736843,0.4210526315789473,0.8421052631578947,58.64661654135338,1,62.28171796284632,75.80268880715732,73.86983130411627,3,2,2,5,2.2,1,Alta,Alta,Salud,Movilidad,0.9999255367630536,0.9669809054976936,65.59389772849148,3,Alta,37.11375614954776,32.09,87.26,55.18,05
6,TUNJUELITO,1100106,23.6,167024,3,192,4,380,14.5,68,2.17,2024-2025,Secretaría Distrital de Salud (SaluData) / REPS,256.4,3.4,24.5,65.0,71300,68500,96.07,22,12025.0,4225,3,6,3200,33,8,3364.0,Seguridad y cultura,99.8,99.5,12.0,0.4,EAAB - ESP,0.85,Sin Riesgo (Apta),120,18900,98.4,226,36.5,64.2,65.0,14,5640,82.4,Ruido y espacio público,Aseo y basuras,Seguridad y convivencia,34,3850,260,56.8,22.0,22.1,77.9,48.5,58.0,A pie / Auto / SITP,1680000,49.5,11.8,302400,184687407861.0,177153009696.0,168040786057.0,7077.28813559322,22.751221381358366,11.495353961107384,0.1796149056423029,800.85,1131.57,0.18,2.53,191.59,1.98,20141.0,0.4101207012165916,410121.0,71996.0,1060644.0,177153.01,1562902.0,20.35635597279433,337.6760226075295,TUNJUELITO,9.903029657484176,0.0798116655592514,Tunjuelito,175399,28636,23,12,31433,33,33,25,1097.6742561810308,1.881424637540693,30210,1223,1054.9657773432043,1097.6742561810308,3.890815385104826,4,192,0.4035944222743045,19.37253226916662,71,19,2,7.163800995368906,0.1140257356085268,6,1063.8333333333333,62.006551884709246,61.39114766216965,62.525565359668086,0.4432665213811763,174699,13,0.7441370585979313,0.7214825988589421,0.958774053176788,0.7078852514294917,0.2443498719613196,0.3815757404847004,0.9055068729012138,0.051116437784078,0.9058437655624818,0.7214825988589421,0.958774053176788,0.4761175616954056,0.3815757404847004,0.9055068729012138,0.051116437784078,0.9058437655624818,62.86310043519442,8,0.1052631578947368,0.6842105263157895,0.368421052631579,0.368421052631579,0.8421052631578947,0.8421052631578947,0.5789473684210527,0.4210526315789473,0.1052631578947368,0.6842105263157895,0.368421052631579,0.8421052631578947,0.8421052631578947,0.5789473684210527,0.4210526315789473,54.88721804511278,7,58.24850262603994,72.48834321132553,68.87587439556636,10,7,7,0,7.8,7,Media-alta,Baja,Salud,Seguridad,0.958774053176788,0.9058437655624818,62.86310043519442,8,Media-alta,48.1331882048888,37.89,81.9,44.01,06
7,BOSA,1100107,23.93,801054,11,485,5,310,6.8,55,1.02,2024-2025,Secretaría Distrital de Salud (SaluData) / REPS,251.2,3.9,24.5,65.0,138900,131200,94.46,43,46250.0,16250,8,14,12500,134,32,13456.0,Malla vial y espacio público,99.6,99.1,11.8,0.6,EAAB - ESP,0.85,Sin Riesgo (Apta),120,34100,96.8,409,36.5,56.8,65.0,14,14200,78.9,Malla vial y huecos,Aseo y basuras,Seguridad y convivencia,92,8450,520,64.2,14.2,16.8,83.2,58.4,76.0,SITP / TransMilenio,1540000,52.4,12.8,277200,656400101161.67,636534232652.67,610200517768.67,33474.88508148767,3.869901404899046,6.054523165729152,0.1373190821093209,1424.99,425.69,0.1,2.03,156.04,1.67,16798.0,0.1637842142976628,163784.0,57736.0,794621.0,636534.23,1032939.0,11.484868685506845,177.26645145021436,BOSA,23.914153282176187,0.0795665001308653,Bosa,768002,150775,63,43,115600,46,46,22,766.7053556624109,0.5989567735500689,111490,4110,739.4461946609185,766.7053556624109,3.5553633217993075,5,485,0.2089148470381812,20.26474016270357,50,12,11,2.089148470381812,0.1432287936750164,6,1933.8333333333333,27.916847784610425,27.41788535816484,28.265918751917265,0.3347071864424989,773327,51,0.659488159601307,0.8210909130195908,1.0,0.8487910024343022,0.2095481744020709,0.1083434514602375,0.8813062986815139,0.016837739404581,0.9165544558670624,0.8210909130195908,1.0,0.5291695884181866,0.1083434514602375,0.8813062986815139,0.016837739404581,0.9165544558670624,61.0471778121596,10,0.368421052631579,1.0,0.631578947368421,0.2631578947368421,0.5789473684210527,0.6842105263157895,0.1052631578947368,0.6842105263157895,0.368421052631579,1.0,0.4473684210526316,0.5789473684210527,0.6842105263157895,0.1052631578947368,0.6842105263157895,55.26315789473684,6,56.53326913616098,70.94107845744318,67.50316817530155,11,9,10,0,9.2,9,Media-alta,Baja,Salud,Seguridad,1.0,0.9165544558670624,61.0471778121596,10,Media-alta,37.20050064761444,30.38,83.7,53.32,07
8,KENNEDY,1100108,38.59,1091115,13,926,10,1450,19.8,261,2.97,2024-2025,Secretaría Distrital de Salud (SaluData) / REPS,258.4,3.5,24.5,65.0,175400,166800,95.1,54,46250.0,16250,8,14,12500,134,32,13456.0,Seguridad y cultura,99.7,99.4,12.4,0.5,EAAB - ESP,0.85,Sin Riesgo (Apta),120,45600,97.5,547,36.5,65.4,65.0,14,18900,80.2,Malla vial y huecos,Aseo y basuras,Seguridad y convivencia,145,12800,890,78.5,14.2,24.5,75.5,49.2,64.0,SITP / TransMilenio,1720000,47.8,11.9,309600,423314241757.14,395817312502.14,362686607974.14,28274.552993003366,13.289158338030363,8.486731462769736,0.1191441782030308,1181.65,417.92,0.073,1.49,114.56,1.23,12332.0,0.1528711455712734,152871.0,42388.0,362764.0,395817.31,570355.0,13.289158338030363,173.21730523363715,KENNEDY,38.55896184033796,0.0797413405848516,Kennedy,1103801,189208,75,47,110581,193,193,126,584.4414612489958,1.7485035799025368,105784,4797,559.088410638028,584.4414612489958,4.3379965816912485,10,926,0.2591362782876713,23.99601936943836,79,3,13,2.047176598472604,0.1177748525322952,6,4535.166666666667,44.38386796477251,42.83599015515048,46.23173497345682,1.51664154897236,1104934,75,0.6787735738062183,0.8780291691479295,0.9630469060160198,0.8124415883873334,0.064004908754513,0.1060835783792873,0.902399979706487,0.0333960532082854,0.9141142575727808,0.8780291691479295,0.9630469060160198,0.4382232485709232,0.1060835783792873,0.902399979706487,0.0333960532082854,0.9141142575727808,60.50418846573875,12,0.631578947368421,0.736842105263158,0.5263157894736843,0.0526315789473684,0.5263157894736842,0.7894736842105263,0.3684210526315789,0.631578947368421,0.631578947368421,0.736842105263158,0.2894736842105264,0.5263157894736842,0.7894736842105263,0.3684210526315789,0.631578947368421,56.766917293233085,3,55.54822021492044,70.03161898989046,65.98994319373882,13,10,11,1,9.8,10,Media-alta,Baja,Salud,Seguridad,0.9630469060160198,0.9141142575727808,60.50418846573877,12,Media,39.023261618501,30.35,83.69,53.34,08
9,FONTIBON,1100109,35.88,366152,5,388,2,890,24.5,160,3.67,2024-2025,Secretaría Distrital de Salud (SaluData) / REPS,282.5,2.4,18.2,65.0,88200,84600,95.92,27,12025.0,4225,3,6,3200,33,8,3364.0,Seguridad y cultura,99.9,99.7,13.5,0.2,EAAB - ESP,0.45,Sin Riesgo (Apta),120,28900,98.9,346,36.5,82.1,120.5,8,8210,89.4,Ruido y espacio público,Aseo y basuras,Seguridad y convivencia,24,4980,340,51.2,22.0,44.2,55.8,28.5,40.0,A pie / Auto / SITP,2450000,32.4,8.8,441000,148337770077.0,140720275609.0,132252998603.0,10204.905239687849,24.30684524459787,10.59669208416177,0.1365553103629094,805.46,789.29,0.082,1.15,87.4,0.9,9187.0,0.2310515851340427,231052.0,32842.0,384322.0,140720.28,657403.0,6.554654897419651,224.2238196158972,FONTIBON,33.25444672778032,0.0797925654630825,Fontibón,385455,55834,21,12,28990,137,137,104,519.2176809829136,3.554241091696826,26022,2968,466.0601067449941,519.2176809829136,10.238013107968264,2,388,0.0600943436241655,11.65830266308812,14,1,5,0.4206604053691589,0.1297168281641177,6,1207.1666666666667,32.99533360500584,32.63617930510789,33.308066416948385,0.2781053883930113,384256,23,0.5985592938041305,0.9073978455427016,0.9050000412733298,0.9565047406270846,0.5452531564963448,0.0185077807480712,0.8925036645003956,0.0219443804933601,0.9242638321247374,0.9073978455427016,0.9050000412733298,0.7508789485617147,0.0185077807480712,0.8925036645003956,0.0219443804933601,0.9242638321247374,63.14994990349015,7,0.7894736842105263,0.5263157894736843,0.8421052631578947,0.5789473684210527,0.2105263157894736,0.736842105263158,0.2105263157894736,0.7894736842105263,0.7894736842105263,0.5263157894736843,0.7105263157894737,0.2105263157894736,0.736842105263158,0.2105263157894736,0.7894736842105263,56.766917293233085,3,58.79988047906525,73.30920187918251,70.1209689650111,9,6,6,1,6.2,6,Media-alta,Baja,Seguridad,Educación,0.9242638321247374,0.9073978455427016,63.14994990349015,7,Media-alta,32.66854886073695,29.41,84.17,54.76,09
10,ENGATIVA,1100110,35.88,795153,13,784,12,1120,18.2,201,2.73,2024-2025,Secretaría Distrital de Salud (SaluData) / REPS,274.1,2.6,18.2,65.0,124500,119800,96.22,38,27750.0,9750,3,6,7500,79,19,7989.5,Seguridad y cultura,99.9,99.7,13.1,0.3,EAAB - ESP,0.85,Sin Riesgo (Apta),120,43200,98.7,518,36.5,78.4,65.0,8,14500,86.8,Malla vial y huecos,Aseo y basuras,Seguridad y convivencia,68,9210,580,61.4,14.2,31.2,68.8,42.1,54.0,A pie / Auto / SITP,2150000,36.8,9.4,387000,390116370396.33,368681770344.33,333030440393.33,22161.454849498325,14.08533955100465,9.859737685703257,0.1634905483598754,1204.01,543.29,0.038,1.23,94.32,0.99,10048.0,0.150662828411639,150663.0,34899.0,463661.0,368681.77,659271.0,8.551813298824252,182.35484240139948,ENGATIVA,35.85229503035833,0.0799095420631908,Engativá,831165,122474,69,37,67938,172,172,124,554.7136535101328,2.069384538569357,63964,3974,522.2659503241505,554.7136535101328,5.84945097000206,12,784,0.3344391438483758,21.85002406476055,38,9,13,1.05905728885319,0.1564069709383816,6,2684.0,33.8245850837291,32.38613018817283,35.64352492557672,1.2304926393884703,828873,35,0.4222601049859267,0.8896538777125514,0.9527319330564508,0.757938660631425,0.1477121703669338,0.0528807040017414,0.8703855431833631,0.0227782293656307,0.9465711041006654,0.8896538777125514,0.9527319330564508,0.4528254154991794,0.0528807040017414,0.8703855431833631,0.0227782293656307,0.9465711041006654,59.82609724170832,13,0.6842105263157895,0.631578947368421,0.4210526315789473,0.1052631578947368,0.3684210526315789,0.5789473684210527,0.2631578947368421,0.9473684210526316,0.6842105263157895,0.631578947368421,0.2631578947368421,0.3684210526315789,0.5789473684210527,0.2631578947368421,0.9473684210526316,53.38345864661653,10,55.29068772893698,69.41747629256587,65.89326068741177,14,11,12,0,12.0,13,Media,Baja,Salud,Seguridad,0.9527319330564508,0.9465711041006654,59.82609724170832,13,Media,34.393808510735504,29.2,82.95,53.75,10
