zona,fase,componente,estatus_vinculacion,combustible,modelo,codigo_bus,fecha_vinculacion,accesible,edad,matricula,descripcion_estado_vinculacion,descripcion_nivel_emision,descripcion_tipo
ENGATIVÁ,FASE III,TRONCAL,Referente,DIESEL,2012,E001,10/04/2012,PLATAFORMA ALTA,12.0,TGW242,Vinculado,EURO IV,ARTICULADO
ENGATIVÁ,FASE III,TRONCAL,Referente,DIESEL,2012,E002,10/04/2012,PLATAFORMA ALTA,12.0,TGW243,Vinculado,EURO IV,ARTICULADO
ENGATIVÁ,FASE III,TRONCAL,Referente,DIESEL,2012,E003,10/04/2012,PLATAFORMA ALTA,12.0,TGW244,Vinculado,EURO IV,ARTICULADO
ENGATIVÁ,FASE III,TRONCAL,Referente,DIESEL,2012,E004,10/04/2012,PLATAFORMA ALTA,12.0,TGW246,Vinculado,EURO IV,ARTICULADO
ENGATIVÁ,FASE III,TRONCAL,Referente,DIESEL,2012,E041,23/03/2012,PLATAFORMA ALTA,12.0,TGW247,Vinculado,EURO IV,BIARTICULADO
ENGATIVÁ,FASE III,TRONCAL,Referente,DIESEL,2012,E042,10/04/2012,PLATAFORMA ALTA,12.0,TGW248,Vinculado,EURO IV,BIARTICULADO
ENGATIVÁ,FASE III,TRONCAL,Referente,DIESEL,2012,E043,10/04/2012,PLATAFORMA ALTA,12.0,TGW488,Vinculado,EURO IV,BIARTICULADO
ENGATIVÁ,FASE III,TRONCAL,Referente,DIESEL,2012,E044,23/03/2012,PLATAFORMA ALTA,12.0,TGW489,Vinculado,EURO IV,BIARTICULADO
ENGATIVÁ,FASE III,TRONCAL,Referente,DIESEL,2012,E045,13/04/2012,PLATAFORMA ALTA,12.0,TGW490,Vinculado,EURO IV,BIARTICULADO
ENGATIVÁ,FASE III,TRONCAL,Referente,DIESEL,2012,E046,13/04/2012,PLATAFORMA ALTA,12.0,TGW491,Vinculado,EURO IV,BIARTICULADO
ENGATIVÁ,FASE III,TRONCAL,Referente,DIESEL,2012,E048,13/04/2012,PLATAFORMA ALTA,12.0,TGW805,Vinculado,EURO IV,BIARTICULADO
ENGATIVÁ,FASE III,TRONCAL,Referente,DIESEL,2012,E050,13/04/2012,PLATAFORMA ALTA,12.0,TGW807,Vinculado,EURO IV,BIARTICULADO
ENGATIVÁ,FASE III,ALIMENTACIÓN,Reserva,DIESEL,2012,E0200,18/07/2012,ENTRADA BAJA,12.0,TAU152,Vinculado,EURO IV,ALIMENTADOR (80)
ENGATIVÁ,FASE III,ALIMENTACIÓN,Reserva,DIESEL,2012,E0201,18/07/2012,ENTRADA BAJA,12.0,TAY883,Vinculado,EURO IV,ALIMENTADOR (80)
ENGATIVÁ,FASE III,ALIMENTACIÓN,Referente,DIESEL,2012,E0202,18/07/2012,ENTRADA BAJA,12.0,TAZ259,Vinculado,EURO IV,ALIMENTADOR (80)
ENGATIVÁ,FASE III,ALIMENTACIÓN,Referente,DIESEL,2012,E0203,18/07/2012,ENTRADA BAJA,12.0,TAY861,Vinculado,EURO IV,ALIMENTADOR (80)
ENGATIVÁ,FASE III,ALIMENTACIÓN,Referente,DIESEL,2012,E0204,18/07/2012,ENTRADA BAJA,12.0,TAY759,Vinculado,EURO IV,ALIMENTADOR (80)
ENGATIVÁ,FASE III,ALIMENTACIÓN,Referente,DIESEL,2012,E0205,18/07/2012,ENTRADA BAJA,12.0,TAY311,Vinculado,EURO IV,ALIMENTADOR (80)
ENGATIVÁ,FASE III,ALIMENTACIÓN,Referente,DIESEL,2012,E0206,18/07/2012,ENTRADA BAJA,12.0,TAY386,Vinculado,EURO IV,ALIMENTADOR (80)
ENGATIVÁ,FASE III,TRONCAL,Referente,DIESEL,2012,E005,26/06/2012,PLATAFORMA ALTA,12.0,TGX882,Vinculado,EURO V,ARTICULADO
ENGATIVÁ,FASE III,TRONCAL,Referente,DIESEL,2012,E006,15/06/2012,PLATAFORMA ALTA,12.0,TGX722,Vinculado,EURO V,ARTICULADO
ENGATIVÁ,FASE III,TRONCAL,Referente,DIESEL,2012,E007,21/06/2012,PLATAFORMA ALTA,12.0,TGX723,Vinculado,EURO V,ARTICULADO
