codigo_localidad,nombre_localidad,codigo_divipola,area_km2,poblacion,total_parques_idrd,total_paraderos_sitp,total_estaciones_troncales_tm,total_camas_hospitalarias,camas_por_10000_habitantes,camas_uci_adultos,medicos_generales_por_1000_hab,vigencia,fuente,puntaje_promedio_saber_11,tasa_desercion_escolar_pct,relacion_estudiantes_por_docente,colegios_jornada_unica_pct,presupuesto_aprobado_millones,presupuesto_ejecutado_millones,porcentaje_ejecucion_fdl,proyectos_inversion_activos,presupuesto_social_sdis_millones,beneficiarios_transferencias_monetarias,comedores_comunitarios_activos,centros_cuidado_primera_infancia,total_votantes_pp,propuestas_ciudadanas_radicadas,propuestas_priorizadas_aprobadas,inversion_presupuesto_participativo_millones,eje_tematico_principal,cobertura_acueducto_pct,cobertura_alcantarillado_pct,consumo_promedio_m3_suscriptor,horas_interrupcion_promedio_mes,prestador_principal,irca_promedio,clasificacion_riesgo_irca,muestras_analizadas,total_luminarias,tecnologia_led_pct,fallas_reportadas_mes,tiempo_medio_reparacion_horas,penetracion_internet_fijo_pct,velocidad_promedio_bajada_mbps,zonas_wifi_publicas,total_pqr_recibidas,pqr_resueltas_a_tiempo_pct,tema_frecuente_1,tema_frecuente_2,tema_frecuente_3,homicidios_anual,hurto_a_personas_anual,hurto_a_comercio_anual,tasa_delitos_alto_impacto_por_100k_hab,tiempo_medio_respuesta_cuadrante_min,ocupados_trabajan_en_su_localidad_pct,ocupados_conmutan_a_otras_localidades_pct,conmutacion_hacia_centro_ampliado_pct,tiempo_promedio_desplazamiento_laboral_min,modo_transporte_principal_trabajo,ingreso_laboral_promedio_ocupados_cop,tasa_informalidad_laboral_pct,tasa_desempleo_pct,poblacion_en_edad_trabajar_estimada,inversion_educacion_asignada_cop,inversion_educacion_ejecutada_cop,inversion_educacion_girada_cop,densidad_poblacional,camas_por_10k_hab_calc,paraderos_por_10k_hab,parques_por_10k_hab,luminarias_por_km2,luminarias_por_10k_hab,comedores_por_10k_hab,tasa_beneficiarios_transferencias_pct,tasa_votantes_pp_por_10k_hab,propuestas_ciudadanas_por_10k_hab,inversion_pp_per_capita_cop,inversion_fdl_per_capita_millones,inversion_fdl_per_capita_cop,inversion_social_sdis_per_capita_cop,inversion_educacion_per_capita_cop,inversion_educacion_ejecutada_millones,inversion_total_consolidada_per_capita_cop,tasa_homicidios_por_100k_hab_calc,pqr_por_10k_hab
1,USAQUEN,1100101,65.31,550679,5,698,10,1850,42.5,333,6.38,2024-2025,Secretaría Distrital de Salud (SaluData) / REPS,298.5,1.8,18.2,65.0,85400,81200,95.08,26,12025.0,4225,3,6,7500,79,19,7989.5,Seguridad y cultura,99.9,99.7,14.2,0.2,EAAB - ESP,0.45,Sin Riesgo (Apta),120,32450,98.8,389,36.5,89.5,120.5,8,8420,88.5,Ruido y espacio público,Aseo y basuras,Seguridad y convivencia,18,5420,310,48.5,8.5,38.5,61.5,25.4,42.0,A pie / Auto / SITP,3650000,24.5,7.8,657000,163103163894.33,156192285339.33,129410855984.33,8431.771551064156,33.59488921858288,12.675260905173431,0.09079699788806182,496.86,589.27,0.054,0.77,136.2,1.43,14508.0,0.1474543245702124,147454.0,21837.0,283636.0,156192.29,467435.0,3.268691923970226,152.90214444349613
2,CHAPINERO,1100102,38.0,148068,3,333,9,2120,68.4,381,10.26,2024-2025,Secretaría Distrital de Salud (SaluData) / REPS,308.2,1.4,18.2,65.0,62300,59800,95.99,19,12025.0,4225,3,6,3200,33,8,3364.0,Seguridad y cultura,99.9,99.8,13.8,0.1,EAAB - ESP,0.45,Sin Riesgo (Apta),120,21200,99.1,254,36.5,92.4,120.5,8,6950,91.2,Ruido y espacio público,Aseo y basuras,Seguridad y convivencia,12,6890,480,72.1,8.5,52.1,47.9,12.0,32.0,A pie / Auto / SITP,4200000,18.2,6.9,756000,27528720049.0,25674170927.0,23426202600.0,3896.5263157894738,143.17745900532188,22.4896669097982,0.2026096117999838,557.89,1431.77,0.203,2.85,216.12,2.23,22719.0,0.40386849285463433,403868.0,81213.0,173394.0,25674.17,681194.0,8.104384471999351,469.37893400329574
3,SANTA FE,1100103,37.92,111539,8,194,14,1420,58.2,255,8.73,2024-2025,Secretaría Distrital de Salud (SaluData) / REPS,262.4,3.8,18.2,65.0,54200,51600,95.2,16,12025.0,4225,3,6,3200,33,8,3364.0,Seguridad y cultura,99.8,99.6,12.5,0.3,EAAB - ESP,0.85,Sin Riesgo (Apta),120,14500,97.9,174,36.5,68.2,65.0,14,4820,84.1,Ruido y espacio público,Aseo y basuras,Seguridad y convivencia,38,4950,390,88.4,22.0,48.0,52.0,15.0,34.0,A pie / Auto / SITP,1950000,48.2,11.4,351000,67928258674.0,62962890763.0,57665466719.0,2941.4293248945146,127.30973022888855,17.393019481974914,0.7172379167824706,382.38,1299.99,0.269,3.79,286.9,2.96,30160.0,0.4626184563246936,462618.0,107810.0,564492.0,62962.89,1165080.0,34.068801047167355,432.1358448614386
4,SAN CRISTOBAL,1100104,49.09,383234,7,408,3,420,12.1,75,1.81,2024-2025,Secretaría Distrital de Salud (SaluData) / REPS,248.5,4.2,24.5,42.5,98400,92100,93.6,30,27750.0,9750,8,6,7500,79,19,7989.5,Malla vial y espacio público,99.4,98.9,11.2,0.8,EAAB - ESP,0.85,Sin Riesgo (Apta),120,26800,96.5,321,36.5,52.4,65.0,14,7150,79.5,Malla vial y huecos,Aseo y basuras,Seguridad y convivencia,64,4120,240,58.2,22.0,18.5,81.5,56.2,68.0,SITP / TransMilenio,1520000,54.8,13.2,273600,314495684173.0,292819514698.0,270410060358.0,7806.763088205336,10.959361643277997,10.646237024898625,0.18265602738796663,545.94,699.31,0.209,2.54,195.7,2.06,20848.0,0.24032314460616752,240323.0,72410.0,764075.0,292819.51,1097656.0,16.699979646899806,186.57008511770874
5,USME,1100105,69.13,414363,7,327,2,280,8.4,50,1.26,2024-2025,Secretaría Distrital de Salud (SaluData) / REPS,242.1,4.9,24.5,42.5,112500,104200,92.62,35,27750.0,9750,8,6,7500,79,19,7989.5,Malla vial y espacio público,97.5,94.2,10.5,2.1,EAAB - ESP,2.1,Sin Riesgo (Apta),120,22100,94.2,265,58.0,41.5,25.0,14,8920,76.2,Malla vial y huecos,Aseo y basuras,Seguridad y convivencia,58,3210,180,52.4,22.0,14.2,85.8,62.4,82.0,SITP / TransMilenio,1380000,59.2,14.5,248400,439111388537.0,411372868865.0,379902031054.0,5993.9678865904825,6.757360092479299,7.891631250859754,0.1689340023119825,319.69,533.35,0.193,2.35,181.0,1.91,19281.0,0.2514703291558368,251470.0,66970.0,992784.0,411372.87,1330505.0,13.997388762992834,215.2701858032691
6,TUNJUELITO,1100106,23.6,167024,3,192,4,380,14.5,68,2.17,2024-2025,Secretaría Distrital de Salud (SaluData) / REPS,256.4,3.4,24.5,65.0,71300,68500,96.07,22,12025.0,4225,3,6,3200,33,8,3364.0,Seguridad y cultura,99.8,99.5,12.0,0.4,EAAB - ESP,0.85,Sin Riesgo (Apta),120,18900,98.4,226,36.5,64.2,65.0,14,5640,82.4,Ruido y espacio público,Aseo y basuras,Seguridad y convivencia,34,3850,260,56.8,22.0,22.1,77.9,48.5,58.0,A pie / Auto / SITP,1680000,49.5,11.8,302400,184687407861.0,177153009696.0,168040786057.0,7077.2881355932195,22.751221381358366,11.495353961107385,0.1796149056423029,800.85,1131.57,0.18,2.53,191.59,1.98,20141.0,0.4101207012165916,410121.0,71996.0,1060644.0,177153.01,1562902.0,20.35635597279433,337.6760226075295
7,BOSA,1100107,23.93,801054,11,485,5,310,6.8,55,1.02,2024-2025,Secretaría Distrital de Salud (SaluData) / REPS,251.2,3.9,24.5,65.0,138900,131200,94.46,43,46250.0,16250,8,14,12500,134,32,13456.0,Malla vial y espacio público,99.6,99.1,11.8,0.6,EAAB - ESP,0.85,Sin Riesgo (Apta),120,34100,96.8,409,36.5,56.8,65.0,14,14200,78.9,Malla vial y huecos,Aseo y basuras,Seguridad y convivencia,92,8450,520,64.2,14.2,16.8,83.2,58.4,76.0,SITP / TransMilenio,1540000,52.4,12.8,277200,656400101161.67,636534232652.67,610200517768.67,33474.88508148767,3.869901404899046,6.054523165729152,0.13731908210932098,1424.99,425.69,0.1,2.03,156.04,1.67,16798.0,0.16378421429766282,163784.0,57736.0,794621.0,636534.23,1032939.0,11.484868685506845,177.26645145021436
8,KENNEDY,1100108,38.59,1091115,13,926,10,1450,19.8,261,2.97,2024-2025,Secretaría Distrital de Salud (SaluData) / REPS,258.4,3.5,24.5,65.0,175400,166800,95.1,54,46250.0,16250,8,14,12500,134,32,13456.0,Seguridad y cultura,99.7,99.4,12.4,0.5,EAAB - ESP,0.85,Sin Riesgo (Apta),120,45600,97.5,547,36.5,65.4,65.0,14,18900,80.2,Malla vial y huecos,Aseo y basuras,Seguridad y convivencia,145,12800,890,78.5,14.2,24.5,75.5,49.2,64.0,SITP / TransMilenio,1720000,47.8,11.9,309600,423314241757.14,395817312502.14,362686607974.14,28274.552993003366,13.289158338030363,8.486731462769736,0.11914417820303085,1181.65,417.92,0.073,1.49,114.56,1.23,12332.0,0.15287114557127343,152871.0,42388.0,362764.0,395817.31,570355.0,13.289158338030365,173.21730523363715
9,FONTIBON,1100109,35.88,366152,5,388,2,890,24.5,160,3.67,2024-2025,Secretaría Distrital de Salud (SaluData) / REPS,282.5,2.4,18.2,65.0,88200,84600,95.92,27,12025.0,4225,3,6,3200,33,8,3364.0,Seguridad y cultura,99.9,99.7,13.5,0.2,EAAB - ESP,0.45,Sin Riesgo (Apta),120,28900,98.9,346,36.5,82.1,120.5,8,8210,89.4,Ruido y espacio público,Aseo y basuras,Seguridad y convivencia,24,4980,340,51.2,22.0,44.2,55.8,28.5,40.0,A pie / Auto / SITP,2450000,32.4,8.8,441000,148337770077.0,140720275609.0,132252998603.0,10204.905239687847,24.30684524459787,10.59669208416177,0.1365553103629094,805.46,789.29,0.082,1.15,87.4,0.9,9187.0,0.2310515851340427,231052.0,32842.0,384322.0,140720.28,657403.0,6.554654897419651,224.2238196158972
10,ENGATIVA,1100110,35.88,795153,13,784,12,1120,18.2,201,2.73,2024-2025,Secretaría Distrital de Salud (SaluData) / REPS,274.1,2.6,18.2,65.0,124500,119800,96.22,38,27750.0,9750,3,6,7500,79,19,7989.5,Seguridad y cultura,99.9,99.7,13.1,0.3,EAAB - ESP,0.85,Sin Riesgo (Apta),120,43200,98.7,518,36.5,78.4,65.0,8,14500,86.8,Malla vial y huecos,Aseo y basuras,Seguridad y convivencia,68,9210,580,61.4,14.2,31.2,68.8,42.1,54.0,A pie / Auto / SITP,2150000,36.8,9.4,387000,390116370396.33,368681770344.33,333030440393.33,22161.454849498325,14.08533955100465,9.859737685703255,0.1634905483598754,1204.01,543.29,0.038,1.23,94.32,0.99,10048.0,0.15066282841163903,150663.0,34899.0,463661.0,368681.77,659271.0,8.551813298824252,182.35484240139948
