sector,ruta,archivo,formato,tamano_mb,error_lectura,encoding,separador,crs,geometria,filas_totales,filas_muestra,columnas,n_unnamed,n_cols_vacias,filas_titulo_omitidas,pct_nulos_total,duplicados,columnas_territoriales,variables_numericas,variables_categoricas,variables_temporales,variables_espaciales,encoding_legacy,muestra_por_performance,bbox_fuera_bogota,problemas_detectados
raw,raw\.gitkeep,.gitkeep,otro,0.0,,,,,,,,,0,0,0,,,,0,0,0,0,False,False,False,formato_no_perfilado
raw,raw\AMBIENTE\estacion_calidad_aire.geojson,AMBIENTE\estacion_calidad_aire.geojson,geojson,0.008,,,,EPSG:4326,Point,19.0,19.0,12.0,0,0,0,21.49,0.0,,0,12,0,0,False,False,False,sin_columna_territorial
raw,raw\AMBIENTE\estacion_calidad_aire_20260731.csv,AMBIENTE\estacion_calidad_aire_20260731.csv,csv,0.003,,utf-8,",",,,,19.0,14.0,0,0,0,18.42,0.0,,7,5,0,2,False,False,False,sin_columna_territorial
raw,raw\AMBIENTE\situacion_ambiental_conflictiva.csv,AMBIENTE\situacion_ambiental_conflictiva.csv,csv,0.277,,latin-1,;,,,,300.0,14.0,0,1,0,7.19,17.0,"localidad, cod_locali",2,11,0,1,True,False,False,"duplicados, encoding_legacy"
raw,raw\AMBIENTE\situacion_ambiental_conflictiva.geojson,AMBIENTE\situacion_ambiental_conflictiva.geojson,geojson,0.605,,,,EPSG:4686,Point,1373.0,1373.0,10.0,0,0,0,0.01,24.0,"localidad, cod_locali",3,7,0,0,False,False,False,duplicados
raw,raw\AMBIENTE\situacion_ambiental_conflictiva_20260731.csv,AMBIENTE\situacion_ambiental_conflictiva_20260731.csv,csv,0.282,,utf-8,",",,,,300.0,14.0,0,1,0,7.19,17.0,"localidad, cod_locali",2,11,0,1,False,False,False,duplicados
raw,raw\DEMOGRAFIA\osb_demografia-poblacion-localidad.csv,DEMOGRAFIA\osb_demografia-poblacion-localidad.csv,csv,6.503,,utf-8,;,,,,300.0,8.0,0,0,0,0.0,0.0,"CODIGO_LOCALIDAD, NOMBRE_LOCALIDAD",3,4,1,0,False,False,False,sin_alertas
raw,raw\DEMOGRAFIA\osb_demografia-poblacion-upl.csv,DEMOGRAFIA\osb_demografia-poblacion-upl.csv,csv,9.342,,utf-8,;,,,,300.0,10.0,0,0,0,0.0,0.0,"CODIGO_UPL, NOMBRE_UPL",3,6,1,0,False,False,False,sin_alertas
raw,raw\DEMOGRAFIA_POBLACION\osb_demografia-poblacion-localidad.csv,DEMOGRAFIA_POBLACION\osb_demografia-poblacion-localidad.csv,csv,6.503,,utf-8,;,,,,300.0,8.0,0,0,0,0.0,0.0,"CODIGO_LOCALIDAD, NOMBRE_LOCALIDAD",3,4,1,0,False,False,False,sin_alertas
raw,raw\DEMOGRAFIA_POBLACION\osb_demografia-poblacion-upl.csv,DEMOGRAFIA_POBLACION\osb_demografia-poblacion-upl.csv,csv,9.342,,utf-8,;,,,,300.0,10.0,0,0,0,0.0,0.0,"CODIGO_UPL, NOMBRE_UPL",3,6,1,0,False,False,False,sin_alertas
